User Input,Response,sentiment
i can't remember jokes.,neither can i.,positive
neither can i.,they go in one ear and out the other.,neutral
they go in one ear and out the other.,who makes up all these jokes?,neutral
who makes up all these jokes?,who knows? but there must be a hundred new ones every day.,positive
who knows? but there must be a hundred new ones every day.,"yes, just in english alone.",neutral
"yes, just in english alone.",i wonder if every language has jokes.,neutral
i wonder if every language has jokes.,of course! people everywhere like good jokes.,positive
of course! people everywhere like good jokes.,what do you think people joke about the most?,positive
what do you think people joke about the most?,i think most jokes are about women.,neutral
i think most jokes are about women.,"oh, really? i think most jokes are about men!",positive
you're very lucky.,why do you say that?,positive
why do you say that?,you speak two languages.,neutral
you speak two languages.,"well, my english isn't perfect.",positive
"well, my english isn't perfect.",no one speaks perfect english.,positive
no one speaks perfect english.,maybe i will be the first!,positive
maybe i will be the first!,i've been thinking about learning spanish.,neutral
i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.,neutral
spanish is easy. i'll be happy to teach you.,how long will it take me to learn?,positive
how long will it take me to learn?,i think it will only take you a year or two.,neutral
i think it will only take you a year or two.,how soon can we begin?,neutral
how soon can we begin?,ahora! that means right now.,neutral
do you know what today is?,"yes, it's april 22.",neutral
"yes, it's april 22.",it's more than just a date.,neutral
it's more than just a date.,is it your birthday or anniversary?,neutral
is it your birthday or anniversary?,"no, it's earth day.",neutral
"no, it's earth day.",what's that?,neutral
what's that?,it's a yearly reminder to take care of our planet.,neutral
it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?",positive
"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags.",positive
"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?,negative
how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water.",neutral
"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.,positive
poetry sucks.,i don't know anyone who likes it.,negative
i don't know anyone who likes it.,"some of it is okay, i guess.",neutral
"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember.",neutral
"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe.""",neutral
"like ""one, two, buckle my shoe.""",but people still write poems.,neutral
but people still write poems.,no one makes any money at it.,neutral
no one makes any money at it.,shakespeare was a poet.,neutral
shakespeare was a poet.,did he get rich from his poetry?,neutral
did he get rich from his poetry?,probably not.,neutral
probably not.,poems are a little bit like songs.,neutral
poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too.",positive
how smart are you?,i don't know. i think i'm average.,positive
i don't know. i think i'm average.,did you ever take an iq test?,negative
did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school.",neutral
"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.,negative
i wish i was really smart.,don't be ridiculous.,positive
don't be ridiculous.,what do you mean?,negative
what do you mean?,"if you're going to make a wish, wish that you were really rich or famous.",neutral
"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?,positive
don't you ever wonder what it's like to be super-smart?,it must be very lonely.,positive
it must be very lonely.,why's that?,negative
why's that?,"because if you're super-smart, no one understands what you're saying.",neutral
i missed the tv news last night. what was on?,nothing that would pass as news.,negative
nothing that would pass as news.,what's the weather going to be like this weekend?,neutral
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels.",neutral
"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?,negative
what was the lead story on the news?,some actress was in court for driving without a license.,positive
some actress was in court for driving without a license.,what was the second story?,neutral
what was the second story?,some actor married a woman young enough to be his daughter.,neutral
some actor married a woman young enough to be his daughter.,what was the third story?,neutral
what was the third story?,a bull chased a man in a supermarket.,neutral
a bull chased a man in a supermarket.,wasn't there anything about octo-mom?,neutral
wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.,neutral
what are you going to do about your death?,"well, mostly i'll try to avoid it.",negative
"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?",neutral
"i mean, are you going to get buried or cremated?",my wife and i will be cremated.,neutral
my wife and i will be cremated.,are you going to be buried next to each other?,negative
are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean.",neutral
"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?,neutral
you're not going to be buried?,a coffin costs too much and takes up too much space.,negative
a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you.",negative
"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.,neutral
children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people.",neutral
"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.,suicide
did you wipe your feet? ,"yes, of course i wiped my feet.",neutral
"yes, of course i wiped my feet.",then why is there mud on the carpet?,neutral
then why is there mud on the carpet?,i don't know. it's not my mud.,neutral
i don't know. it's not my mud.,"well, someone brought it into the house.",negative
"well, someone brought it into the house.",look at the bottom of my shoesthey're clean.,neutral
look at the bottom of my shoesthey're clean.,of course they're clean. you left all the mud on the carpet.,neutral
of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner.",neutral
"okay, i'll get the vacuum cleaner.",don't vacuum it now.,neutral
don't vacuum it now.,don't you want me to clean up the mud?,neutral
don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.,neutral
wait till it dries. it will be easier to vacuum.,next time i will be more careful.,positive
what are you getting for your mom?,what are you talking about?,neutral
what are you talking about?,sunday is mother's day.,neutral
sunday is mother's day.,this sunday?,positive
this sunday?,of course. it's all over the news.,neutral
of course. it's all over the news.,i thought it was next sunday.,neutral
i thought it was next sunday.,"well, you'd better get her something.",neutral
"well, you'd better get her something.",i'll get her a nice card.,positive
i'll get her a nice card.,is that it?,positive
is that it?,yes. that's all i ever give her.,neutral
yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?",positive
"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.,neutral
i don't like our flag.,what's the matter with it?,negative
what's the matter with it?,it's too much like other flags.,neutral
it's too much like other flags.,"yes, a lot of flags have stripes.",neutral
"yes, a lot of flags have stripes.",a flag should be pretty.,neutral
a flag should be pretty.,what should our flag look like?,positive
what should our flag look like?,it should have a pretty woman on it.,negative
it should have a pretty woman on it.,that's ridiculous!,neutral
that's ridiculous!,you don't like pretty women?,negative
you don't like pretty women?,of course i do. but not on our flag!,negative
of course i do. but not on our flag!,every nation should have a pretty woman on their flag.,neutral
every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!,neutral
i had a busy morning.,what did you do?,neutral
what did you do?,i watered all the plants.,neutral
i watered all the plants.,you have a lot of plants.,neutral
you have a lot of plants.,then i did my laundry.,neutral
then i did my laundry.,that takes some time.,positive
that takes some time.,i took the dog for a walk.,neutral
i took the dog for a walk.,i'll bet he enjoyed his walk.,neutral
i'll bet he enjoyed his walk.,i vacuumed the entire house.,positive
i vacuumed the entire house.,that's a lot of work.,negative
that's a lot of work.,and then i made lunch.,neutral
and then i made lunch.,i'll bet you were hungry!,neutral
i don't have long distance service with my home phone.,so how do you make long distance calls?,negative
so how do you make long distance calls?,i use a calling card.,neutral
i use a calling card.,where do you get that?,neutral
where do you get that?,i buy it at the dollar store.,neutral
i buy it at the dollar store.,how much is it?,neutral
how much is it?,it's one dollar for 100 minutes.,neutral
it's one dollar for 100 minutes.,that's only a penny a minute!,neutral
that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.,neutral
it's a great price. but you have to dial a lot of numbers.,how many?,positive
how many?,"first you dial seven numbers, then ten numbers, then ten more numbers.",neutral
"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.,neutral
do you go to college?,"yes, i do.",neutral
"yes, i do.",what college do you go to?,neutral
what college do you go to?,i go to pasadena city college.,neutral
i go to pasadena city college.,do you like it?,neutral
do you like it?,"oh, yes, i really like it.",neutral
"oh, yes, i really like it.",why do you like it?,positive
why do you like it?,because it has great teachers.,neutral
because it has great teachers.,what else?,positive
what else?,"i like all my classmates, too.",neutral
"i like all my classmates, too.",anything else?,neutral
anything else?,yes. it's not expensive!,neutral
i lost my new pen.,where did you lose it?,negative
where did you lose it?,i don't know.,neutral
i don't know.,when did you lose it?,neutral
when did you lose it?,i think i lost it today. i used it yesterday.,neutral
i think i lost it today. i used it yesterday.,did you check all your pockets?,negative
did you check all your pockets?,i checked all my pockets.,neutral
i checked all my pockets.,did you look in your desk?,neutral
did you look in your desk?,"yes. it isn't there, either.",neutral
"yes. it isn't there, either.",it's probably around somewhere.,neutral
it's probably around somewhere.,"oh, well, it only cost me a dollar.",neutral
"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.,neutral
gravity is very important.,what is gravity?,positive
what is gravity?,it's the force that pulls everything down.,neutral
it's the force that pulls everything down.,i don't understand.,neutral
i don't understand.,"if you pour water into a glass, the water goes down into the glass.",neutral
"if you pour water into a glass, the water goes down into the glass.",of course it does.,positive
of course it does.,"without gravity, the water would go up.",neutral
"without gravity, the water would go up.",you're joking.,neutral
you're joking.,"without gravity, you would go up.",positive
"without gravity, you would go up.",what do you mean?,neutral
what do you mean?,you would float into the sky like a balloon.,neutral
you would float into the sky like a balloon.,that would be fun!,neutral
i can't read my book.,turn on the light.,neutral
turn on the light.,the light is on.,neutral
the light is on.,open the book.,neutral
open the book.,the book is open.,neutral
the book is open.,see an eye doctor.,neutral
see an eye doctor.,that's what i need to do.,neutral
that's what i need to do.,he'll give you a prescription for glasses.,neutral
he'll give you a prescription for glasses.,i'll make an appointment tomorrow.,neutral
i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.,neutral
i'll get the yellow pages for an eye doctor.,read the phone number to me.,neutral
read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too.",neutral
what do you need for school?,i need pencils.,neutral
i need pencils.,anything else?,neutral
anything else?,i need a notebook.,neutral
i need a notebook.,do you need a pen?,neutral
do you need a pen?,no. i already have a pen.,neutral
no. i already have a pen.,do you need a calculator?,negative
do you need a calculator?,no. the teacher doesn't permit calculators.,neutral
no. the teacher doesn't permit calculators.,how about a dictionary?,neutral
how about a dictionary?,"no, we have a big dictionary in the classroom.",neutral
"no, we have a big dictionary in the classroom.","well, i guess that's it.",neutral
"well, i guess that's it.","yes, that's all i need for now.",positive
i like this magazine.,so do i.,positive
so do i.,"i read it once, and i subscribed.",neutral
"i read it once, and i subscribed.",it gives you all the news.,neutral
it gives you all the news.,all the news in only 50 pages.,neutral
all the news in only 50 pages.,i like the political cartoons.,neutral
i like the political cartoons.,i like the beautiful photos of the houses for sale.,neutral
i like the beautiful photos of the houses for sale.,i always read the film reviews.,positive
i always read the film reviews.,i never miss the food and drink section.,neutral
i never miss the food and drink section.,i gave a subscription to my parents.,negative
i gave a subscription to my parents.,me too. they canceled their other news magazines.,neutral
me too. they canceled their other news magazines.,so did mine!,negative
my pen is out of ink.,shake it a couple of times.,neutral
shake it a couple of times.,i shook it. there is no more ink.,negative
i shook it. there is no more ink.,you can borrow mine.,neutral
you can borrow mine.,thank you. i'll buy a new one tomorrow.,neutral
thank you. i'll buy a new one tomorrow.,what were you doing?,positive
what were you doing?,i was writing a letter.,neutral
i was writing a letter.,who were you writing to?,neutral
who were you writing to?,it's to my mom.,neutral
it's to my mom.,tell her i said hello.,neutral
tell her i said hello.,okay. i'll return your pen when i'm done.,neutral
okay. i'll return your pen when i'm done.,take your time.,negative
have you done your homework?,not yet.,neutral
not yet.,then why are you watching tv?,neutral
then why are you watching tv?,this is my favorite show.,neutral
this is my favorite show.,go do your homework.,positive
go do your homework.,"but, mom!",negative
"but, mom!",you can watch tv after you do your homework.,neutral
you can watch tv after you do your homework.,but the show will be over.,neutral
but the show will be over.,there will be another show next week.,neutral
there will be another show next week.,please?,neutral
please?,you know the rules.,neutral
you know the rules.,i hate the rules! i can't wait till i grow up.,neutral
i can't wait until i graduate.,me too.,neutral
me too.,no more homework.,neutral
no more homework.,i hate homework.,negative
i hate homework.,are you going to college?,negative
are you going to college?,i can't afford it.,neutral
i can't afford it.,me neither.,negative
me neither.,so what are you going to do?,neutral
so what are you going to do?,i'm joining the army.,neutral
i'm joining the army.,you're kidding. you might get killed.,negative
you're kidding. you might get killed.,"i don't think so. after i finish, i'll have enough money to go to college.",positive
"i don't think so. after i finish, i'll have enough money to go to college.",that's not a bad idea.,negative
what is your major?,english.,neutral
english.,what are you going to do with an english major?,neutral
what are you going to do with an english major?,i'm going to be a teacher.,neutral
i'm going to be a teacher.,high school or middle school?,neutral
high school or middle school?,high school.,neutral
high school.,i teach high school english.,neutral
i teach high school english.,i didn't know that.,neutral
i didn't know that.,i started teaching five years ago.,neutral
i started teaching five years ago.,how do you like it?,neutral
how do you like it?,do you see all this gray hair? it was totally black five years ago.,neutral
do you see all this gray hair? it was totally black five years ago.,maybe i'll teach middle school.,neutral
parking at school is impossible.,i'll say.,negative
i'll say.,i drove around for half an hour.,neutral
i drove around for half an hour.,did you find a spot?,neutral
did you find a spot?,"i found a spot, but someone cut in and took it from me.",neutral
"i found a spot, but someone cut in and took it from me.",did you yell at them?,neutral
did you yell at them?,"yes, i did.",neutral
"yes, i did.",and?,neutral
and?,and he yelled back at me.,neutral
and he yelled back at me.,how rude.,neutral
how rude.,but i got lucky a few minutes later.,negative
but i got lucky a few minutes later.,you have to be lucky to find a parking space.,positive
this is a huge library.,"yes, it has lots of rooms and lots of space.",neutral
"yes, it has lots of rooms and lots of space.",and lots of books.,neutral
and lots of books.,and lots of thieves.,neutral
and lots of thieves.,what do you mean?,neutral
what do you mean?,"i mean, keep your belongings close to you.",neutral
"i mean, keep your belongings close to you.",the only thing in my backpack is used books.,neutral
the only thing in my backpack is used books.,but thieves don't know that.,negative
but thieves don't know that.,they might think that i've got an ipod or laptop in there.,neutral
they might think that i've got an ipod or laptop in there.,now you're thinking.,neutral
now you're thinking.,you'd think a library would be safe from thieves.,neutral
you'd think a library would be safe from thieves.,not even a church is safe from thieves.,positive
how good is your math?,i can add two and two.,positive
i can add two and two.,so you're not very good at math?,neutral
so you're not very good at math?,i'm terrible at math.,negative
i'm terrible at math.,"well, i need some help.",negative
"well, i need some help.",with what?,positive
with what?,i'm taking a math course in school.,neutral
i'm taking a math course in school.,"well, you should ask your teacher or your classmates for help.",neutral
"well, you should ask your teacher or your classmates for help.",i can't do that.,positive
i can't do that.,why not?,negative
why not?,they might think i'm stupid.,neutral
they might think i'm stupid.,they're not going to think that! they'll be glad to help you.,negative
do you believe in god?,of course.,positive
of course.,do you pray to god?,neutral
do you pray to god?,occasionally.,positive
occasionally.,when's that?,negative
when's that?,when i need something.,neutral
when i need something.,like what?,neutral
like what?,"well, if i have a big test at school.",neutral
"well, if i have a big test at school.",does god answer your prayers?,positive
does god answer your prayers?,"yes, i've passed all my tests.",neutral
"yes, i've passed all my tests.",do you ever pray for money?,neutral
do you ever pray for money?,not yet. i won't need to do that until i graduate from high school.,positive
the cops finally found the husband.,what husband?,positive
what husband?,the husband of the driver who ran over two college students at 3 a.m.,neutral
the husband of the driver who ran over two college students at 3 a.m.,"oh, yeah. the girl died instantly, and the boy is still in the hospital.",negative
"oh, yeah. the girl died instantly, and the boy is still in the hospital.",the husband said he tried to help the boy.,negative
the husband said he tried to help the boy.,"yes, he pushed him off the hood of the car.",neutral
"yes, he pushed him off the hood of the car.","no, he said he gently placed the boy on the street.",negative
"no, he said he gently placed the boy on the street.",so what? they still drove off.,neutral
so what? they still drove off.,the husband said a fire department was nearby.,neutral
the husband said a fire department was nearby.,so what? did he dial 911?,neutral
so what? did he dial 911?,"he said he was thinking about it, but he didn't get around to it.",neutral
"he said he was thinking about it, but he didn't get around to it.","he didn't get around to turning himself in, either.",neutral
i don't like riding the bus.,why not?,negative
why not?,the seats and windows are dirty.,neutral
the seats and windows are dirty.,don't they clean the bus every night?,negative
don't they clean the bus every night?,i think they do.,neutral
i think they do.,you should bring some wipes with you.,neutral
you should bring some wipes with you.,that's a good idea.,neutral
that's a good idea.,then you can wipe your seat and window.,positive
then you can wipe your seat and window.,people will think i'm strange.,neutral
people will think i'm strange.,who cares? everyone is strange.,negative
who cares? everyone is strange.,that's for sure.,negative
that's for sure.,don't worry about what people think.,neutral
why not?,"number one, it's too slow.",neutral
"number one, it's too slow.",you're right. a car is faster.,negative
you're right. a car is faster.,"number two, it's usually late.",neutral
"number two, it's usually late.",you're right. the buses are never on time.,neutral
you're right. the buses are never on time.,"number three, it doesn't run 24 hours.",neutral
"number three, it doesn't run 24 hours.",you're right. buses don't run late at night.,neutral
you're right. buses don't run late at night.,"number four, it's too crowded.",negative
"number four, it's too crowded.",you're right. you have to stand in the aisle.,neutral
you're right. you have to stand in the aisle.,"number five, it's unsafe.",neutral
"number five, it's unsafe.",you're right. bad guys might rob you.,neutral
we had a problem at school.,what was the problem?,negative
what was the problem?,someone cut the tires.,negative
someone cut the tires.,what tires?,suicide
what tires?,the tires on the cars.,neutral
the tires on the cars.,where were the cars?,neutral
where were the cars?,they were in the student parking lot.,neutral
they were in the student parking lot.,how many tires were cut?,positive
how many tires were cut?,one or two tires were cut on each car.,negative
one or two tires were cut on each car.,how many cars?,neutral
how many cars?,eleven cars.,negative
eleven cars.,that's terrible. i hope they catch the person.,neutral
life isn't fair.,it sure isn't.,negative
it sure isn't.,i got a ticket yesterday.,neutral
i got a ticket yesterday.,what for?,neutral
what for?,i was crossing the street.,neutral
i was crossing the street.,were you in a crosswalk?,negative
were you in a crosswalk?,"yes, but the red hand was blinking.",neutral
"yes, but the red hand was blinking.",so? that's a ticket?,neutral
so? that's a ticket?,"yes, it's a $140 ticket.",neutral
"yes, it's a $140 ticket.",that's not right!,neutral
that's not right!,"when i started to cross the street, the white walk sign was blinking.",negative
"when i started to cross the street, the white walk sign was blinking.",you need to walk faster.,neutral
you're driving too fast.,why do you say that?,neutral
why do you say that?,the speed limit is 65.,neutral
the speed limit is 65.,i know that.,neutral
i know that.,but you're doing 75.,neutral
but you're doing 75.,so is everyone else.,neutral
so is everyone else.,but a cop might stop you.,neutral
but a cop might stop you.,"no, he won't. some cars are doing 85.",neutral
"no, he won't. some cars are doing 85.",so the cop will stop those cars?,negative
so the cop will stop those cars?,of course. he stops the fastest cars.,negative
of course. he stops the fastest cars.,my friend got a ticket for doing 75.,neutral
my friend got a ticket for doing 75.,your friend was unlucky.,neutral
remember to put air in your tires.,how often do i have to do that?,neutral
how often do i have to do that?,once every two months.,neutral
once every two months.,that's a lot.,neutral
that's a lot.,what do you mean?,neutral
what do you mean?,that's six times a year!,neutral
that's six times a year!,"yes, and it takes about five minutes each time.",negative
"yes, and it takes about five minutes each time.",i'll try.,neutral
i'll try.,check your tires or you'll get a flat.,neutral
check your tires or you'll get a flat.,oh. that's not good.,neutral
oh. that's not good.,"no, it isn't. a flat costs you time and money.",negative
"no, it isn't. a flat costs you time and money.",and i don't have either.,neutral
you're driving too fast.,i'm in a hurry.,neutral
i'm in a hurry.,don't ever be in a hurry.,negative
don't ever be in a hurry.,it's not my fault. you didn't wake me up.,negative
it's not my fault. you didn't wake me up.,that's not my fault. you didn't tell me to wake you up.,negative
that's not my fault. you didn't tell me to wake you up.,"well, i meant to.",negative
"well, i meant to.",don't ever be in a hurry when you're driving.,neutral
don't ever be in a hurry when you're driving.,why not?,negative
why not?,because you'll have an accident. most accidents are because people are in a hurry.,neutral
because you'll have an accident. most accidents are because people are in a hurry.,how do you know that?,negative
how do you know that?,i read a lot.,neutral
i read a lot.,i thought drunks caused most accidents.,neutral
let's go for a ride.,where are we going?,positive
where are we going?,into the mountains.,neutral
into the mountains.,that sounds nice.,neutral
that sounds nice.,i want to show you my new car.,positive
i want to show you my new car.,you bought a new car?,neutral
you bought a new car?,yes. i bought a cadillac.,neutral
yes. i bought a cadillac.,a luxury car.,neutral
a luxury car.,luxury plus speed.,neutral
luxury plus speed.,what are we waiting for?,neutral
what are we waiting for?,let me get the keys.,neutral
let me get the keys.,let me get my camera.,neutral
i have to go to the bathroom.,why didn't you go before we left?,neutral
why didn't you go before we left?,"i did, but i have to go again.",neutral
"i did, but i have to go again.","well, hold on a little longer.",neutral
"well, hold on a little longer.",i think i'm going to explode.,neutral
i think i'm going to explode.,just hold on.,neutral
just hold on.,oh! don't hit any more bumps!,neutral
oh! don't hit any more bumps!,we'll be at mcdonald's in just a few minutes.,negative
we'll be at mcdonald's in just a few minutes.,i hope they are fast minutes.,neutral
i hope they are fast minutes.,think about something else. think about a hamburger.,positive
think about something else. think about a hamburger.,"i'm thinking, but i still have to go.",neutral
"i'm thinking, but i still have to go.",it's the next exit. hold on!,neutral
where's the car?,what do you mean?,neutral
what do you mean?,the car isn't here.,neutral
the car isn't here.,where did you park it?,negative
where did you park it?,i parked it right here.,neutral
i parked it right here.,are you sure?,neutral
are you sure?,yes. i remember this big tree.,neutral
yes. i remember this big tree.,maybe it's the wrong tree.,positive
maybe it's the wrong tree.,"no, this is the tree.",negative
"no, this is the tree.",did someone steal it?,negative
did someone steal it?,i sure hope not.,suicide
i sure hope not.,maybe they towed it away.,positive
look at this traffic.,i'd rather not.,negative
i'd rather not.,it gets worse every year.,neutral
it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.,negative
why are you complaining? we're going almost 20 miles an hour.,the speed limit is 65!,neutral
the speed limit is 65!,"well, that's between 2:00 and 4:00 a.m.",neutral
"well, that's between 2:00 and 4:00 a.m.",where are all these people going?,positive
where are all these people going?,they're all asking the same question.,neutral
they're all asking the same question.,when are they going to fix this problem?,neutral
when are they going to fix this problem?,they said they need more money.,positive
they said they need more money.,they always need more money.,neutral
they always need more money.,it'll get worse before it gets better.,neutral
did you see that car?,"yes, he went through the red light.",neutral
"yes, he went through the red light.",can we call the police?,neutral
can we call the police?,"no, the police don't care.",neutral
"no, the police don't care.",why not?,negative
why not?,they have to see it happen.,neutral
they have to see it happen.,they don't believe us?,neutral
they don't believe us?,no. they can only give a ticket if they see it happen.,negative
no. they can only give a ticket if they see it happen.,"so, what do we do?",neutral
"so, what do we do?",we don't do anything.,neutral
we don't do anything.,maybe we should honk the horn next time.,neutral
maybe we should honk the horn next time.,the driver will just honk back at us.,neutral
my car is dirty.,why don't you wash it?,negative
why don't you wash it?,that's what i'm going to do.,neutral
that's what i'm going to do.,are you going to wash it yourself?,neutral
are you going to wash it yourself?,of course. it's not a hard job.,negative
of course. it's not a hard job.,i'll help you.,negative
i'll help you.,"okay, i'll get a bucket.",neutral
"okay, i'll get a bucket.",i'll rinse the car first.,neutral
i'll rinse the car first.,then we can scrub it with a wet sponge and soap.,neutral
then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel.",negative
"after that, we can dry it with a towel.",then it will look like new,neutral
then it will look like new,and you save $10.,neutral
it sure is windy today.,paper is flying everywhere.,neutral
paper is flying everywhere.,this wind is dangerous for drivers.,neutral
this wind is dangerous for drivers.,especially for drivers of big trucks.,negative
especially for drivers of big trucks.,the wind blows those trucks over.,negative
the wind blows those trucks over.,"it blows trees over, too.",negative
"it blows trees over, too.",a tree fell onto my dad's car.,negative
a tree fell onto my dad's car.,was there much damage?,neutral
was there much damage?,my dad had to buy a new car.,negative
my dad had to buy a new car.,wow! that's terrible.,neutral
wow! that's terrible.,never park your car under a tree.,negative
never park your car under a tree.,"the wind will get you, or the birds will get you.",negative
when are we going to stop?,we'll stop at the next mcdonald's.,neutral
we'll stop at the next mcdonald's.,how far away is that?,neutral
how far away is that?,i think we'll be there in half an hour.,neutral
i think we'll be there in half an hour.,i hope so. i have to go to the bathroom.,neutral
i hope so. i have to go to the bathroom.,"well, i can always pull over.",positive
"well, i can always pull over.","no, thank you, i'll just wait.",neutral
"no, thank you, i'll just wait.",we can kill two birds with one stone.,positive
we can kill two birds with one stone.,what do you mean?,negative
what do you mean?,"while you're using the bathroom, i'll order some food.",neutral
"while you're using the bathroom, i'll order some food.",don't order for me. i'm not hungry.,negative
don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours.",negative
this is such a long light.,look how many cars are waiting in line.,neutral
look how many cars are waiting in line.,they need a left-turn arrow.,negative
they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.,neutral
only two cars can make a left turn every three or four minutes.,we'll be here forever.,neutral
we'll be here forever.,get out of this lane.,neutral
get out of this lane.,but we need to turn left.,neutral
but we need to turn left.,forget it. go straight.,neutral
forget it. go straight.,then what?,neutral
then what?,then we'll just make a u-turn.,neutral
then we'll just make a u-turn.,and then we can turn right at the light.,neutral
and then we can turn right at the light.,good idea. it will be so much quicker.,neutral
i need a cheap car.,how much money do you have?,negative
how much money do you have?,"$1,000.00 ",neutral
"$1,000.00 ","well, that should get you something.",neutral
"well, that should get you something.",but i need something that's reliable.,neutral
but i need something that's reliable.,you need a car with low mileage.,neutral
you need a car with low mileage.,a car that was owned by a little old lady.,neutral
a car that was owned by a little old lady.,where have you looked?,neutral
where have you looked?,i haven't looked anywhere yet.,neutral
i haven't looked anywhere yet.,why not?,neutral
why not?,because i'll never find one for such a low price.,neutral
because i'll never find one for such a low price.,you're right about that. keep saving your money.,negative
"good afternoon, officer.","your driver's license and registration, please.",positive
"your driver's license and registration, please.",here you go.,negative
here you go.,do you know why i pulled you over?,neutral
do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.,neutral
i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.,neutral
you rolled through that stop sign back there.,but i stopped!,neutral
but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop.",neutral
"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?",negative
"well, nobody else does, so why should i?",that's not the attitude of a good driver.,suicide
that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.,negative
but i am a good driver. i've never had a ticket in my life.,"well, you've got one now. here. have a nice day.",negative
$140. i can't believe it.,what are you talking about?,negative
what are you talking about?,i got a ticket downtown for $140.,neutral
i got a ticket downtown for $140.,were you speeding?,negative
were you speeding?,"no, i was crossing the street.",neutral
"no, i was crossing the street.",were you jaywalking?,negative
were you jaywalking?,"no, i was in the crosswalk.",neutral
"no, i was in the crosswalk.",so why did you get a ticket?,negative
so why did you get a ticket?,the officer said the red hand was blinking.,neutral
the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?,neutral
was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking.",positive
"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.,negative
they were in a crosswalk near school at 3 a.m.,who?,neutral
who?,two students from usc.,neutral
two students from usc.,what happened?,neutral
what happened?,"a speeding car ran a red light, killing the girl.",neutral
"a speeding car ran a red light, killing the girl.",what happened to the other student?,negative
what happened to the other student?,he landed on the hood of the car.,neutral
he landed on the hood of the car.,did he get off the hood?,neutral
did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood.",neutral
"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.,negative
i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?,neutral
of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.,neutral
what happened to your car?,i got a dent in the parking lot.,neutral
i got a dent in the parking lot.,how did you get it?,neutral
how did you get it?,i don't know. maybe it was from a shopping cart.,neutral
i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.,neutral
those shopping carts are dangerous.,especially the metal ones.,neutral
especially the metal ones.,i don't park at a store that uses metal shopping carts.,negative
i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store.",neutral
"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?,positive
did you save any money on the sale?,"yes, i did. i saved about $50.",neutral
"yes, i did. i saved about $50.",that's great.,neutral
that's great.,"yes, except this dent will cost about $150.",positive
"did you see ""titanic""?",yes. it is a great movie.,neutral
yes. it is a great movie.,i saw it twelve times.,positive
